published_date,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri
2011-12-25,1.0,0.0,1.0,0.0,0.0,0679603751,9780679603757,Random House,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,0.00,UNBROKEN,Laura Hillenbrand,by Laura Hillenbrand,,https://storage.googleapis.com/du-prd/books/images/9781400064168.jpg,264.0,400.0,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=NYTBSREV-20,,https://www.nytimes.com/2010/11/15/books/15book.html,,https://www.nytimes.com/2010/11/21/books/review/Margolick-t.html,,"[{'isbn10': '1400064163', 'isbn13': '9781400064168'}, {'isbn10': '0679603751', 'isbn13': '9780679603757'}, {'isbn10': '0375435018', 'isbn13': '9780375435010'}, {'isbn10': '0739319698', 'isbn13': '9780739319697'}, {'isbn10': '0007378033', 'isbn13': '9780007378036'}, {'isbn10': '0812974492', 'isbn13': '9780812974492'}, {'isbn10': '0606355987', 'isbn13': '9780606355988'}, {'isbn10': '081298711X', 'isbn13': '9780812987119'}, {'isbn10': '0553397117', 'isbn13': '9780553397116'}, {'isbn10': '1101912626', 'isbn13': '9781101912621'}, {'isbn10': '1984818449', 'isbn13': '9781984818447'}, {'isbn10': '1984837621', 'isbn13': '9781984837622'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780679603757?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780679603757'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FUNBROKEN%252FLaura%252BHillenbrand%252F9780679603757&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DUNBROKEN%252BLaura%252BHillenbrand'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780679603757&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DUNBROKEN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780679603757%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DUNBROKEN%2BLaura%2BHillenbrand%26aff%3DNYT'}]",nyt://book/8eab8215-dfc5-5137-8ef6-896cfbaa0b32
2011-12-25,2.0,0.0,1.0,0.0,0.0,0849946158,9780849946158,Thomas Nelson,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,0.00,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,by Todd Burpo with Lynn Vincent,,https://storage.googleapis.com/du-prd/books/images/9780849949203.jpg,309.0,495.0,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=NYTBSREV-20,,https://www.nytimes.com/2011/03/12/books/heaven-is-for-real-is-publishing-phenomenon.html,,,,"[{'isbn10': '0849946158', 'isbn13': '9780849946158'}, {'isbn10': '0849948363', 'isbn13': '9780849948367'}, {'isbn10': '0849922070', 'isbn13': '9780849922077'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780849946158?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780849946158'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHEAVEN%252BIS%252BFOR%252BREAL%252FTodd%252BBurpo%252Bwith%252BLynn%252BVincent%252F9780849946158&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHEAVEN%252BIS%252BFOR%252BREAL%252BTodd%252BBurpo%252Bwith%252BLynn%252BVincent'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780849946158&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHEAVEN%2BIS%2BFOR%2BREAL'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780849946158%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHEAVEN%2BIS%2BFOR%2BREAL%2BTodd%2BBurpo%2Bwith%2BLynn%2BVincent%26aff%3DNYT'}]",nyt://book/8eea17d5-d79d-51e5-9f7f-8654146058cb
2011-12-25,3.0,0.0,1.0,0.0,0.0,1594202842,9781594202841,Penguin Group,A Chinese-American mother makes a case for strict and demanding parenting.,0.00,BATTLE HYMN OF THE TIGER MOTHER,Amy Chua,by Amy Chua,,https://storage.googleapis.com/du-prd/books/images/9781594202841.jpg,292.0,495.0,http://www.amazon.com/Battle-Hymn-Tiger-Mother-Chua/dp/1594202842?tag=NYTBSREV-20,,https://www.nytimes.com/2011/01/20/books/20book.html,,https://www.nytimes.com/2011/02/13/books/review/Dominus-t.html,,"[{'isbn10': '1594202842', 'isbn13': '9781594202841'}, {'isbn10': '0143120581', 'isbn13': '9780143120582'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Battle-Hymn-Tiger-Mother-Chua/dp/1594202842?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781594202841?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781594202841'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBATTLE%252BHYMN%252BOF%252BTHE%252BTIGER%252BMOTHER%252FAmy%252BChua%252F9781594202841&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBATTLE%252BHYMN%252BOF%252BTHE%252BTIGER%252BMOTHER%252BAmy%252BChua'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781594202841&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBATTLE%2BHYMN%2BOF%2BTHE%2BTIGER%2BMOTHER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781594202841%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBATTLE%2BHYMN%2BOF%2BTHE%2BTIGER%2BMOTHER%2BAmy%2BChua%26aff%3DNYT'}]",nyt://book/f340db9d-6911-57c6-8e58-4e17d5ccfa1f
2011-12-25,4.0,0.0,1.0,0.0,0.0,0307590615,9780307590619,Crown,"The former president’s memoir discusses his Christianity and the end of his drinking; his relationships with members of his family; and critical White House decisions on 9/11, Iraq and Katrina.",0.00,DECISION POINTS,George W Bush,by George W. Bush,,https://storage.googleapis.com/du-prd/books/images/9780307590619.jpg,184.0,280.0,http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=NYTBSREV-20,,https://www.nytimes.com/2010/11/04/books/04book.html,,https://www.nytimes.com/2010/12/19/books/review/Kinsley-t.html,,"[{'isbn10': '0307590615', 'isbn13': '9780307590619'}, {'isbn10': '0307590623', 'isbn13': '9780307590626'}, {'isbn10': '0307885224', 'isbn13': '9780307885227'}, {'isbn10': '030788824X', 'isbn13': '9780307888242'}, {'isbn10': '0739377825', 'isbn13': '9780739377826'}, {'isbn10': '0307748642', 'isbn13': '9780307748645'}, {'isbn10': '0307590631', 'isbn13': '9780307590633'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780307590619?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780307590619'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FDECISION%252BPOINTS%252FGeorge%252BW%252BBush%252F9780307590619&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DDECISION%252BPOINTS%252BGeorge%252BW%252BBush'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780307590619&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DDECISION%2BPOINTS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780307590619%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DDECISION%2BPOINTS%2BGeorge%2BW%2BBush%26aff%3DNYT'}]",nyt://book/02b81882-0b96-5909-8285-13f4f0914fac
2011-12-25,5.0,0.0,1.0,0.0,0.0,0307265633,9780307265630,Knopf Doubleday,A physicist explains various theories involving the existence of parallel universes.,0.00,THE HIDDEN REALITY,Brian Greene,by Brian Greene,,https://storage.googleapis.com/du-prd/books/images/9780307595256.jpg,321.0,495.0,http://www.amazon.com/The-Hidden-Reality-Parallel-Universes/dp/0307265633?tag=NYTBSREV-20,,https://www.nytimes.com/2011/01/27/books/27book.html,,https://www.nytimes.com/2011/02/06/books/review/Ferris-t.html,,"[{'isbn10': '0307265633', 'isbn13': '9780307265630'}, {'isbn10': '0307595250', 'isbn13': '9780307595256'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Hidden-Reality-Parallel-Universes/dp/0307265633?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780307265630?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780307265630'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BHIDDEN%252BREALITY%252FBrian%252BGreene%252F9780307265630&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BHIDDEN%252BREALITY%252BBrian%252BGreene'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780307265630&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BHIDDEN%2BREALITY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780307265630%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BHIDDEN%2BREALITY%2BBrian%2BGreene%26aff%3DNYT'}]",nyt://book/a2ac5d49-2b86-5d62-bc2f-43bbcd565818
2011-12-25,6.0,0.0,1.0,0.0,0.0,0316001929,9780316001922,"Little, Brown","This biography portrays the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",0.00,CLEOPATRA,Stacy Schiff,by Stacy Schiff,,https://storage.googleapis.com/du-prd/books/images/9780316001946.jpg,240.0,240.0,http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=NYTBSREV-20,,https://www.nytimes.com/2010/11/02/books/02book.html,https://www.nytimes.com/2010/11/07/books/review/excerpt-cleopatra.html,https://www.nytimes.com/2010/11/07/books/review/Harrison-t.html,,"[{'isbn10': '0316001929', 'isbn13': '9780316001922'}, {'isbn10': '0316121800', 'isbn13': '9780316121804'}, {'isbn10': '0316120448', 'isbn13': '9780316120449'}, {'isbn10': '0316001945', 'isbn13': '9780316001946'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316001922?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316001922'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FCLEOPATRA%252FStacy%252BSchiff%252F9780316001922&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DCLEOPATRA%252BStacy%252BSchiff'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316001922&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DCLEOPATRA'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316001922%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DCLEOPATRA%2BStacy%2BSchiff%26aff%3DNYT'}]",nyt://book/a069dfd7-9914-558b-9ac4-54a98536d746
2011-12-25,7.0,0.0,1.0,0.0,0.0,0385532946,9780385532945,Knopf Doubleday,"The geopolitical forecaster who wrote ""The Next 100 Years"" details the enormous transition he expects over the coming 10.",0.00,THE NEXT DECADE,George Friedman,by George Friedman,,https://storage.googleapis.com/du-prd/books/images/9780307476395.jpg,320.0,495.0,http://www.amazon.com/The-Next-Decade-Where-Going/dp/0385532946?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385532946', 'isbn13': '9780385532945'}, {'isbn10': '0385532954', 'isbn13': '9780385532952'}, {'isbn10': '0307476391', 'isbn13': '9780307476395'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Next-Decade-Where-Going/dp/0385532946?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385532945?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385532945'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BNEXT%252BDECADE%252FGeorge%252BFriedman%252F9780385532945&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BNEXT%252BDECADE%252BGeorge%252BFriedman'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385532945&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BNEXT%2BDECADE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385532945%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BNEXT%2BDECADE%2BGeorge%2BFriedman%26aff%3DNYT'}]",nyt://book/8697d20b-3e97-551a-a2a6-b71cc518eb6c
2011-12-25,8.0,0.0,1.0,0.0,0.0,1400052173,9781400052172,Crown,The story of a woman whose cancer cells were extensively cultured without her permission in 1951.,0.00,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,by Rebecca Skloot,,https://storage.googleapis.com/du-prd/books/images/9781400052189.jpg,182.0,280.0,http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=NYTBSREV-20,,https://www.nytimes.com/2010/02/03/books/03book.html,https://www.nytimes.com/2010/03/03/books/excerpt-immortal-life-of-henrietta-lacks.html,https://www.nytimes.com/2010/02/07/books/review/Margonelli-t.html,https://www.nytimes.com/2010/02/02/health/02seco.html,"[{'isbn10': '1400052173', 'isbn13': '9781400052172'}, {'isbn10': '0307589382', 'isbn13': '9780307589385'}, {'isbn10': '1410427927', 'isbn13': '9781410427922'}, {'isbn10': '1400052181', 'isbn13': '9781400052189'}, {'isbn10': '1594134324', 'isbn13': '9781594134326'}, {'isbn10': '0451486315', 'isbn13': '9780451486318'}, {'isbn10': '0804190100', 'isbn13': '9780804190107'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781400052172?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781400052172'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BIMMORTAL%252BLIFE%252BOF%252BHENRIETTA%252BLACKS%252FRebecca%252BSkloot%252F9781400052172&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BIMMORTAL%252BLIFE%252BOF%252BHENRIETTA%252BLACKS%252BRebecca%252BSkloot'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781400052172&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BIMMORTAL%2BLIFE%2BOF%2BHENRIETTA%2BLACKS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781400052172%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BIMMORTAL%2BLIFE%2BOF%2BHENRIETTA%2BLACKS%2BRebecca%2BSkloot%26aff%3DNYT'}]",nyt://book/a35005c3-fa42-55d3-83e7-d928a643630c
2011-12-25,9.0,0.0,1.0,0.0,0.0,1416583432,9781416583431,Simon & Schuster,What the world is like from a dog’s point of view.,0.00,INSIDE OF A DOG,Alexandra Horowitz,by Alexandra Horowitz,,https://storage.googleapis.com/du-prd/books/images/9781416583431.jpg,182.0,280.0,http://www.amazon.com/Inside-Dog-What-Dogs-Smell/dp/1416583432?tag=NYTBSREV-20,,,,https://www.nytimes.com/2009/09/13/books/review/Schine-t.html,,"[{'isbn10': '1416583432', 'isbn13': '9781416583431'}, {'isbn10': '1416588272', 'isbn13': '9781416588276'}, {'isbn10': '1416583408', 'isbn13': '9781416583400'}, {'isbn10': '1400112559', 'isbn13': '9781400112555'}, {'isbn10': '148145093X', 'isbn13': '9781481450935'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Inside-Dog-What-Dogs-Smell/dp/1416583432?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781416583431?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781416583431'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FINSIDE%252BOF%252BA%252BDOG%252FAlexandra%252BHorowitz%252F9781416583431&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DINSIDE%252BOF%252BA%252BDOG%252BAlexandra%252BHorowitz'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781416583431&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DINSIDE%2BOF%2BA%2BDOG'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781416583431%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DINSIDE%2BOF%2BA%2BDOG%2BAlexandra%2BHorowitz%26aff%3DNYT'}]",nyt://book/07538f69-23a5-5c40-a0be-4642d96fb0e7
2011-12-25,10.0,0.0,1.0,0.0,0.0,0520267192,9780520267190,University of California,"In his autobiography, published unexpurgated for the first time, Twain is pointedly political and willing to play the angry prophet.",0.00,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1",Mark Twain,by Mark Twain,,https://storage.googleapis.com/du-prd/books/images/9780520267190.jpg,300.0,432.0,http://www.amazon.com/Autobiography-Mark-Twain-Volume-Authoritative/dp/0520267192?tag=NYTBSREV-20,,,https://www.nytimes.com/2010/07/10/books/10btwain.html,https://www.nytimes.com/2010/12/19/books/review/Keillor-t.html,https://www.nytimes.com/2010/11/20/books/20twain.html,"[{'isbn10': '0520267192', 'isbn13': '9780520267190'}, {'isbn10': '0520946995', 'isbn13': '9780520946996'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Autobiography-Mark-Twain-Volume-Authoritative/dp/0520267192?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780520267190?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780520267190'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FAUTOBIOGRAPHY%252BOF%252BMARK%252BTWAIN%25252C%252BVOL.%252B1%252FMark%252BTwain%252F9780520267190&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DAUTOBIOGRAPHY%252BOF%252BMARK%252BTWAIN%25252C%252BVOL.%252B1%252BMark%252BTwain'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780520267190&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DAUTOBIOGRAPHY%2BOF%2BMARK%2BTWAIN%252C%2BVOL.%2B1'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780520267190%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DAUTOBIOGRAPHY%2BOF%2BMARK%2BTWAIN%252C%2BVOL.%2B1%2BMark%2BTwain%26aff%3DNYT'}]",nyt://book/74c663e9-82ce-5df0-9f70-55782c57fda6
