rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,1,9,0,0,0385349173,9780385349178,Crown Forum,Three decades’ worth of essays from the conservative columnist.,0.00,THINGS THAT MATTER,Charles Krauthammer,by Charles Krauthammer,,https://storage.googleapis.com/du-prd/books/images/9780385349178.jpg,330,493,http://www.amazon.com/Things-That-Matter-Passions-Pastimes/dp/0385349173?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385349173', 'isbn13': '9780385349178'}, {'isbn10': '0385349181', 'isbn13': '9780385349185'}, {'isbn10': '0553398326', 'isbn13': '9780553398328'}, {'isbn10': '0804194513', 'isbn13': '9780804194518'}, {'isbn10': '038534919X', 'isbn13': '9780385349192'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Things-That-Matter-Passions-Pastimes/dp/0385349173?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385349178?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385349178'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHINGS%252BTHAT%252BMATTER%252FCharles%252BKrauthammer%252F9780385349178&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHINGS%252BTHAT%252BMATTER%252BCharles%252BKrauthammer'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385349178&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHINGS%2BTHAT%2BMATTER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385349178%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHINGS%2BTHAT%2BMATTER%2BCharles%2BKrauthammer%26aff%3DNYT'}]",nyt://book/993c5172-e7cd-551d-978d-8b33ca4b51ff,2014-01-05
2,2,13,0,0,0805098542,9780805098549,Holt,"The host of ""The O'Reilly Factor"" recounts the events leading up to Jesus' execution.",0.00,KILLING JESUS,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9780805098549.jpg,326,495,http://www.amazon.com/Killing-Jesus-Bill-OReilly/dp/0805098542?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0805098542', 'isbn13': '9780805098549'}, {'isbn10': '1410462420', 'isbn13': '9781410462428'}, {'isbn10': '1427233322', 'isbn13': '9781427233325'}, {'isbn10': '1250142202', 'isbn13': '9781250142207'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Killing-Jesus-Bill-OReilly/dp/0805098542?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780805098549?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780805098549'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BJESUS%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9780805098549&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BJESUS%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780805098549&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BJESUS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780805098549%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BJESUS%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/7c80ee7d-c657-5aca-8283-832b81d5c8cf,2014-01-05
3,4,12,0,0,0316204366,9780316204361,"Little, Brown","How disadvantages can work in our favor; from the author of ""The Tipping Point"" and ""Outliers.""",0.00,DAVID AND GOLIATH,Malcolm Gladwell,by Malcolm Gladwell,,https://storage.googleapis.com/du-prd/books/images/9780316204361.jpg,330,474,http://www.amazon.com/David-Goliath-Underdogs-Misfits-Battling/dp/0316204366?tag=NYTBSREV-20,,https://www.nytimes.com/2013/10/03/books/david-and-goliath-by-malcolm-gladwell.html,,https://www.nytimes.com/2013/10/13/books/review/malcolm-gladwells-david-and-goliath.html,,"[{'isbn10': '0316204366', 'isbn13': '9780316204361'}, {'isbn10': '0316204382', 'isbn13': '9780316204385'}, {'isbn10': '1611137527', 'isbn13': '9781611137521'}, {'isbn10': '0316239852', 'isbn13': '9780316239851'}, {'isbn10': '0316204374', 'isbn13': '9780316204378'}, {'isbn10': '031625178X', 'isbn13': '9780316251785'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/David-Goliath-Underdogs-Misfits-Battling/dp/0316204366?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316204361?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316204361'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FDAVID%252BAND%252BGOLIATH%252FMalcolm%252BGladwell%252F9780316204361&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DDAVID%252BAND%252BGOLIATH%252BMalcolm%252BGladwell'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316204361&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DDAVID%2BAND%2BGOLIATH'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316204361%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DDAVID%2BAND%2BGOLIATH%2BMalcolm%2BGladwell%26aff%3DNYT'}]",nyt://book/989f748b-343d-5901-8dc2-40383e1324ef,2014-01-05
4,3,7,0,0,159523103X,9781595231031,Sentinel,"The story of the Culper spy ring, which aided the American cause during the Revolution. ",0.00,GEORGE WASHINGTON'S SECRET SIX,Brian Kilmeade and Don Yaeger,by Brian Kilmeade and Don Yaeger,,https://storage.googleapis.com/du-prd/books/images/9780698137653.jpg,328,495,http://www.amazon.com/George-Washingtons-Secret-Six-Revolution-ebook/dp/B00C5R7FP4?tag=NYTBSREV-20,,,,,,"[{'isbn10': '159523103X', 'isbn13': '9781595231031'}, {'isbn10': '1611762278', 'isbn13': '9781611762273'}, {'isbn10': '1595231102', 'isbn13': '9781595231109'}, {'isbn10': '073520943X', 'isbn13': '9780735209435'}, {'isbn10': '0143130609', 'isbn13': '9780143130604'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/George-Washingtons-Secret-Six-Revolution-ebook/dp/B00C5R7FP4?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781595231031?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781595231031'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FGEORGE%252BWASHINGTON%252527S%252BSECRET%252BSIX%252FBrian%252BKilmeade%252Band%252BDon%252BYaeger%252F9781595231031&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DGEORGE%252BWASHINGTON%252527S%252BSECRET%252BSIX%252BBrian%252BKilmeade%252Band%252BDon%252BYaeger'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781595231031&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DGEORGE%2BWASHINGTON%2527S%2BSECRET%2BSIX'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781595231031%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DGEORGE%2BWASHINGTON%2527S%2BSECRET%2BSIX%2BBrian%2BKilmeade%2Band%2BDon%2BYaeger%26aff%3DNYT'}]",nyt://book/65facf6b-cc8a-50e3-9fbd-a5086d47c275,2014-01-05
5,5,7,0,0,141654786X,9781416547860,Simon & Schuster,"The relationship between Theodore Roosevelt and William Howard Taft and the activities of the muckraking press, from the author of “Team of Rivals.”",0.00,THE BULLY PULPIT,Doris Kearns Goodwin,by Doris Kearns Goodwin,,https://storage.googleapis.com/du-prd/books/images/9781416547860.jpg,330,487,http://www.amazon.com/The-Bully-Pulpit-Roosevelt-Journalism/dp/141654786X?tag=NYTBSREV-20,,https://www.nytimes.com/2013/11/12/books/bully-pulpit-doris-kearns-goodwins-book-on-roosevelt.html,,https://www.nytimes.com/2013/11/17/books/review/doris-kearns-goodwins-bully-pulpit.html,,"[{'isbn10': '141654786X', 'isbn13': '9781416547860'}, {'isbn10': '1442362626', 'isbn13': '9781442362628'}, {'isbn10': '1442353155', 'isbn13': '9781442353152'}, {'isbn10': '1410463222', 'isbn13': '9781410463227'}, {'isbn10': '1442365706', 'isbn13': '9781442365704'}, {'isbn10': '1416547878', 'isbn13': '9781416547877'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Bully-Pulpit-Roosevelt-Journalism/dp/141654786X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781416547860?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781416547860'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBULLY%252BPULPIT%252FDoris%252BKearns%252BGoodwin%252F9781416547860&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBULLY%252BPULPIT%252BDoris%252BKearns%252BGoodwin'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781416547860&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBULLY%2BPULPIT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781416547860%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBULLY%2BPULPIT%2BDoris%2BKearns%2BGoodwin%26aff%3DNYT'}]",nyt://book/91120d9a-42a1-5f62-8093-88ca08c6f59b,2014-01-05
6,6,5,0,0,1476764743,9781476764740,Threshold Editions/Mercury Radio Arts,Little-known stories from the American past.,0.00,MIRACLES AND MASSACRES,Glenn Beck with Kevin Balfe and Hannah Beck,by Glenn Beck with Kevin Balfe and Hannah Beck,,https://storage.googleapis.com/du-prd/books/images/9781476764757.jpg,328,495,http://www.amazon.com/Miracles-Massacres-Untold-Stories-America-ebook/dp/B00EWWLKPQ?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1476764743', 'isbn13': '9781476764740'}, {'isbn10': '1442369671', 'isbn13': '9781442369672'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Miracles-Massacres-Untold-Stories-America-ebook/dp/B00EWWLKPQ?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781476764740?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476764740'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FMIRACLES%252BAND%252BMASSACRES%252FGlenn%252BBeck%252Bwith%252BKevin%252BBalfe%252Band%252BHannah%252BBeck%252F9781476764740&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DMIRACLES%252BAND%252BMASSACRES%252BGlenn%252BBeck%252Bwith%252BKevin%252BBalfe%252Band%252BHannah%252BBeck'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781476764740&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DMIRACLES%2BAND%2BMASSACRES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781476764740%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DMIRACLES%2BAND%2BMASSACRES%2BGlenn%2BBeck%2Bwith%2BKevin%2BBalfe%2Band%2BHannah%2BBeck%26aff%3DNYT'}]",nyt://book/e883bbff-074f-5d5b-8b6e-be75475cb6d7,2014-01-05
7,9,5,0,0,0316067601,9780316067607,"Little, Brown","The only survivor of a Navy SEALs operation in northern Afghanistan describes the battle, his comrades and his courageous escape.",0.00,LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,by Marcus Luttrell with Patrick Robinson,,https://storage.googleapis.com/du-prd/books/images/9780316067607.jpg,180,270,http://www.amazon.com/Lone-Survivor-Eyewitness-Account-Operation/dp/0316067601?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0316007544', 'isbn13': '9780316007542'}, {'isbn10': '0316044695', 'isbn13': '9780316044691'}, {'isbn10': '0316067601', 'isbn13': '9780316067607'}, {'isbn10': '0316067598', 'isbn13': '9780316067591'}, {'isbn10': '031632406X', 'isbn13': '9780316324069'}, {'isbn10': '0316324108', 'isbn13': '9780316324106'}, {'isbn10': '1478927089', 'isbn13': '9781478927082'}, {'isbn10': '1600242197', 'isbn13': '9781600242199'}, {'isbn10': '0606352155', 'isbn13': '9780606352154'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Lone-Survivor-Eyewitness-Account-Operation/dp/0316067601?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316067607?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316067607'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLONE%252BSURVIVOR%252FMarcus%252BLuttrell%252Bwith%252BPatrick%252BRobinson%252F9780316067607&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLONE%252BSURVIVOR%252BMarcus%252BLuttrell%252Bwith%252BPatrick%252BRobinson'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316067607&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLONE%2BSURVIVOR'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316067607%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLONE%2BSURVIVOR%2BMarcus%2BLuttrell%2Bwith%2BPatrick%2BRobinson%26aff%3DNYT'}]",nyt://book/970688e5-aaca-5e46-9005-79fc1c1e86cb,2014-01-05
8,8,11,0,0,0316322407,9780316322409,"Little, Brown",The experience of the Pakistani girl who advocated for women’s education and was shot by the Taliban.,0.00,I AM MALALA,Malala Yousafzai with Christina Lamb,by Malala Yousafzai with Christina Lamb,,https://storage.googleapis.com/du-prd/books/images/9780316322409.jpg,318,495,http://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0316322407', 'isbn13': '9780316322409'}, {'isbn10': '147897978X', 'isbn13': '9781478979784'}, {'isbn10': '031628663X', 'isbn13': '9780316286633'}, {'isbn10': '0316322423', 'isbn13': '9780316322423'}, {'isbn10': '1478902337', 'isbn13': '9781478902331'}, {'isbn10': '0297870939', 'isbn13': '9780297870937'}, {'isbn10': '1478983701', 'isbn13': '9781478983705'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316322409?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316322409'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FI%252BAM%252BMALALA%252FMalala%252BYousafzai%252Bwith%252BChristina%252BLamb%252F9780316322409&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DI%252BAM%252BMALALA%252BMalala%252BYousafzai%252Bwith%252BChristina%252BLamb'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316322409&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DI%2BAM%2BMALALA'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316322409%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DI%2BAM%2BMALALA%2BMalala%2BYousafzai%2Bwith%2BChristina%2BLamb%26aff%3DNYT'}]",nyt://book/41df6fd4-7a28-59a6-b334-d5d5febe0c11,2014-01-05
9,7,5,0,0,1250038820,9781250038821,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by Stanton. ",0.00,HUMANS OF NEW YORK,Brandon Stanton,by Brandon Stanton,,https://storage.googleapis.com/du-prd/books/images/9781250038821.jpg,330,424,http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250038820?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250038820', 'isbn13': '9781250038821'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Humans-New-York-Brandon-Stanton/dp/1250038820?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250038821?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250038821'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHUMANS%252BOF%252BNEW%252BYORK%252FBrandon%252BStanton%252F9781250038821&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHUMANS%252BOF%252BNEW%252BYORK%252BBrandon%252BStanton'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250038821&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHUMANS%2BOF%2BNEW%2BYORK'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250038821%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHUMANS%2BOF%2BNEW%2BYORK%2BBrandon%2BStanton%26aff%3DNYT'}]",nyt://book/f8e8af43-e546-5167-9aa9-f3088b4ca819,2014-01-05
10,10,4,0,0,0804139571,9780804139571,Crown Archetype,A “memoir” in the voice of Will Ferrell’s anchorman character.,0.00,LET ME OFF AT THE TOP!,Ron Burgundy,by Ron Burgundy,,https://storage.googleapis.com/du-prd/books/images/9780804139588.jpg,328,495,http://www.amazon.com/Let-Me-Off-Top-Musings-ebook/dp/B00EIGS388?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0804139571', 'isbn13': '9780804139571'}, {'isbn10': '080413958X', 'isbn13': '9780804139588'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Let-Me-Off-Top-Musings-ebook/dp/B00EIGS388?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780804139571?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780804139571'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLET%252BME%252BOFF%252BAT%252BTHE%252BTOP%252521%252FRon%252BBurgundy%252F9780804139571&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLET%252BME%252BOFF%252BAT%252BTHE%252BTOP%252521%252BRon%252BBurgundy'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780804139571&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLET%2BME%2BOFF%2BAT%2BTHE%2BTOP%2521'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780804139571%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLET%2BME%2BOFF%2BAT%2BTHE%2BTOP%2521%2BRon%2BBurgundy%26aff%3DNYT'}]",nyt://book/062f3477-8f28-5832-a229-66fc0586d3f6,2014-01-05
